time	processId	duration	action
   0	        1	       8	start
   1	        1	       8	executing
   2	        1	       8	executing
   3	        1	       8	executing
   4	        1	       8	executing
   5	        1	       8	executing
   5	        2	       2	start
   6	        2	       2	executing
   7	        1	       8	executing
   7	        3	       3	start
   8	        3	       3	executing
   9	        2	       2	end
  10	        1	       8	executing
  11	        3	       3	executing
  11	        4	       6	start
  12	        4	       6	executing
  13	        1	       8	end
  14	        3	       3	end
  15	        4	       6	executing
  16	        4	       6	executing
  17	        4	       6	executing
  18	        4	       6	executing
  19	        4	       6	end
